#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
c51090201d0825e7eb80766b1ca02a64	Bacteria	 TM6	 SJA-4	 	 	 	 
ba913f297cd87e85afd709f806643db8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Novosphingobium	
9d9c048945d12e4f487b480b6c0842cc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
5cf8b7e62a4957843000235d6cd24a5f	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 succinicans
7a63de9d7807bf6cf7fa33618b17d1bb	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 viridiflava
6454fe38563b452df6e0730e83134e4d	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 	 	 
2fc3fb9184a27acd4d1dbc27fb11cd02	Bacteria	 Proteobacteria	 Betaproteobacteria	 Methylophilales	 Methylophilaceae	 	 
2664bf1a461b813ce2e9b04df0f5328d	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae		
340f4cb3dfe2ca01102915fcc04653bf	Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	
696c0f18907c1f6e5388921dfda1260d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Agrobacterium	 
6deeb750c08030379fc07babd673fc86	Bacteria	 Actinobacteria	 Acidimicrobiia	 Acidimicrobiales	 EB1017	 	 
1ee8190725a2ab20e562fb3063811337	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Sphingobacterium	 multivorum
05f6d378c2be5311662224c2f3ff82f5	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	 
579650572bfe83c888977afe3ce82fff	Bacteria	 Chloroflexi	 Ktedonobacteria	 Thermogemmatisporales	 Thermogemmatisporaceae	 	 
eaac26a2d9642d7149f8365805e381ca	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 	 	 
39c6283862c84a9048fb734675b9be67	Bacteria	 Verrucomicrobia	 [Pedosphaerae]	 [Pedosphaerales]	 Ellin515	 	 
54f21679d1f81998f536157a18a7908f	Bacteria	 Verrucomicrobia	 [Pedosphaerae]	 [Pedosphaerales]	 	 	 
d4ea6485bacc472432801c724a1c0efb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae		
e4e00eaae67c4cf77845cc5f3c0cf0d7	Bacteria	 Spirochaetes	 Spirochaetes	 Spirochaetales	 Spirochaetaceae	 	 
09a9c8be5a27c5ecc7901ca467a0fbab	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacterineae	 	 
97ef52878f5cb236687ea8b580034068	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Geodermatophilaceae	 Geodermatophilus	 
ac6ea8ac5a8431434c5a14197aa02dfb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Erythrobacteraceae	 Erythromicrobium	 
99af09c8db32e4c2656aee991eee4b0d	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 	 
1a7722f8bd736d5d1bb132c1664be563	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Methylibium	 
dda84acd27b4167273af2fd373c2ff28	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae		
e4673d96ef8a5810cc5103c37b4ef353	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Enterobacter	
fe0d46ce4eeed8b4e81264e9d9230d8a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 	 	 	 
22eba157b8047fa70441ec2f1ad7e2b5	Bacteria	 Proteobacteria	 Gammaproteobacteria				
ee1c7c6da5e87d415ab7f5dab4d5bdb1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Peptostreptococcaceae	 [Clostridium]	
b9990ef9ec2e1b7ea547da91fa410b04	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 	 	 
7e8d4ecaea88502c8a56b6adadcdbc10	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Microbacteriaceae	 Salinibacterium	 
0a5907d3514ff8ae807d49b3344cdd72	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
b22efaed200e4b961a452fd827dc3099	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinospicaceae	 Actinospica	 acidiphila
327e8b192f2ed29739dd981fd5a9cdb8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 	 	 	 
65ee1a55fcb534717f4db8a42c4e5117	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 	 	 
b848620d2984983cbddc090f930f17b8	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae		
b33270ff92704b9928e5f59a52d57336	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Rhizobium	 
2b28964a240ba1ce1436e89c5ddc41f4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 	 	 
370372413e22bc82e5ff28b35643f136	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Acidiphilium	 
