#NAME	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__	0.0	311.0	0.0	1214.0	434.0	463.0	876.0	186.0	3034.0	0.0	181.0	2931.0	299.0	11.0	503.0	1195.0	0.0	0.0	4389.0	0.0	0.0	0.0	1965.0	697.0	592.0	895.0	554.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis	0.0	19.0	63.0	0.0	8.0	0.0	941.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	63.0	298.0	109.0	469.0	960.0	64.0	0.0	4250.0	81.0	0.0	99.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__	226.0	41.0	286.0	96.0	69.0	0.0	0.0	0.0	51.0	0.0	8.0	0.0	10.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	31.0	157.0	36.0	32.0	4764.0	0.0	0.0	37.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidocella	0.0	393.0	233.0	1417.0	1895.0	143.0	1304.0	298.0	573.0	280.0	1707.0	324.0	578.0	654.0	1624.0	13.0	224.0	112.0	1221.0	35.0	756.0	29.0	111.0	297.0	773.0	390.0	2217.0	20.0	125.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes	2183.0	294.0	1646.0	153.0	346.0	0.0	316.0	235.0	1213.0	0.0	285.0	0.0	225.0	0.0	51.0	407.0	1204.0	1005.0	2428.0	37.0	1179.0	1033.0	88.0	446.0	1023.0	2375.0	546.0	5446.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4071.0	1688.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__Conexibacter	52.0	21.0	0.0	177.0	635.0	88.0	364.0	149.0	894.0	189.0	1155.0	171.0	522.0	365.0	634.0	0.0	151.0	99.0	349.0	0.0	79.0	97.0	136.0	21.0	303.0	704.0	2483.0	0.0	202.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;__	49.0	99.0	0.0	120.0	2115.0	0.0	1760.0	146.0	836.0	95.0	444.0	135.0	1029.0	262.0	473.0	0.0	3.0	0.0	788.0	10.0	409.0	0.0	42.0	0.0	641.0	366.0	2669.0	12.0	227.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;__	0.0	16.0	0.0	205.0	104.0	0.0	904.0	0.0	334.0	0.0	91.0	40.0	3944.0	0.0	0.0	0.0	0.0	873.0	135.0	0.0	0.0	0.0	0.0	4.0	0.0	437.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	152.0	61.0	2887.0	714.0	0.0	0.0	511.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	34.0	259.0	159.0	334.0	11.0	1028.0	1404.0	149.0	99.0	187.0	96.0	0.0	577.0	0.0
