#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
2f8e3a21541593cf350c117d64063cc2	k__Bacteria	p__Chloroflexi	c__TK10	o__AKYG885	f__Dolo_23	g__	s__
65656b1df062e79baeeaf4798dd02fc5	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__
07d1d33a0f27455af3064d4bd4c80b01	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
3ba8e4d395b8052fba03a42c40b31d64	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__
5a3c609f6793bc62006f4e7aa7e062eb	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__australicum
4c5ddce84d1d5350c72db282938fcf4e	k__Bacteria	p__Verrucomicrobia	c__[Pedosphaerae]	o__[Pedosphaerales]	f__Ellin517	g__	s__
156bb552b88406abbe7a05c8f05718cd	k__Bacteria	p__Acidobacteria	c__TM1	o__	f__	g__	s__
4eb38f293a13d496010349abf4b17b93	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__
4ef9e8ea1bf0734554a20b5999d83879	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Koribacteraceae	g__	s__
065a7058c5c155952c16d273b824fb8d	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	NA	NA	NA
a5303fcbbe49beca6a372a664f8672aa	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Chlamydiaceae	g__	s__
8204bd5726c9ea8a7b0d022756dbd28f	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__Solibacteraceae	g__CandidatusSolibacter	s__
25db6f221d5068515ac5a651b7379905	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Pseudogulbenkiania	s__subflava
3b74d9a7088fc4fb58e220b8329842e4	k__Bacteria	p__Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
287c23c963a2cdfa33459dfad9478a05	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Salinispora	s__
67b9a0ce898f1ad9256812a6cba7bd6d	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micromonosporaceae	g__Dactylosporangium	s__
8b15b39bc35c107e8c82ca792b9ecb82	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Pseudonocardiaceae	NA	NA
97c54aea62a1b78bd57a6757616642fe	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__
d2049194ea717ab53899386bf064021a	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__chocolatum
3063f6a095f2715a32f9b0bab17dd7b5	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__CandidatusRhodoluna	s__
bd5fe0c0b4e826d86cf0272e63b8165e	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__SC-I-84	f__	g__	s__
64475f888619daca5c2a01f42733452c	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	NA	NA
609757febc5313d08063f42086e827ef	k__Bacteria	p__Bacteroidetes	c__[Rhodothermi]	o__[Rhodothermales]	f__Rhodothermaceae	g__	s__
6bfce97fa0e298c50ee40cfe214264c3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__Nannocystaceae	g__Plesiocystis	s__
8e40f3e55963216b7585f0e4ca3165a8	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	NA	NA	NA	NA
f78a6e307d02513b6f12fd0ceec936fe	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	NA	NA
272b2b3c61ed8128b856568669e65f87	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	NA	NA
b1e7ecda70561a3987d9961cb3a38763	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Bordetella	s__petrii
e02d4cc627ea69f60f4f8e5a3ce7ec3b	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__JG30-KF-AS9	f__	g__	s__
873ff8e9155cd7b248ee1c6ad5c8aa3f	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__multihospitium
cbd56c472dc9421257d5f38e59cafed6	k__Bacteria	p__FBP	c__	o__	f__	g__	s__
1f7e1b4d6e52b49cd640b62ee424c8bb	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__
ed68dbeeb8e91e6fa36cbd646eb40fef	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__
14b67de8fe537afa1827927a794cbf06	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__	g__	s__
7cad8d3cf807b0ac541da30df3187d67	k__Bacteria	p__Chlamydiae	c__Chlamydiia	o__Chlamydiales	f__Parachlamydiaceae	g__	s__
cd37b539be61f421703c62d14ce71aff	k__Bacteria	p__Verrucomicrobia	c__[Spartobacteria]	o__[Chthoniobacterales]	f__01D2Z36	g__	s__
c2d57ab701c93b4feec1b455e9330fa8	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Rhodocyclales	f__Rhodocyclaceae	g__Dechloromonas	s__
13a326578f9f11726ab21aabdf428e8b	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
d665db313c18f635a0e571d50dc3dbfb	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__
4de7392e7f97e7fc17f6b17d3135a852	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Myxococcales	f__	g__	s__
d6f568f6da1a1013fbbcdb823ef30ba9	k__Bacteria	p__Acidobacteria	c__Solibacteres	o__Solibacterales	f__	g__	s__
